Field,Type,Português (Brasil),Inglês,Espanhol,Francês,Italiano,Alemão
ProductFeatures8,Text,,,,,,
ProductFeatures9,Text,,,,,,
ProductFeatures10,Text,,,,,,
ProductFeatures11,Text,,,,,,
ProductFeatures12,Text,,,,,,
ProductFeatures13,Text,,,,,,
ProductFeatures14,Text,,,,,,
ProductFeatures15,Text,,,,,,
ProductFeatures16,Text,,,,,,
ProductFeatures17,Text,,,,,,
ProductFeatures18,Text,,,,,,
ProductFeatures19,Text,,,,,,
ProductFeatures20,Text,,,,,,
ShortDescription,Text,"Gerenciador de arquivos que monitora mudanças em tempo real.","File manager that monitors real-time changes.","Gestor de archivos que supervisa cambios en tiempo real.","Gestionnaire de fichiers qui surveille les changements en temps réel.","Gestore di file che monitora le modifiche in tempo reale.","Dateimanager, der Echtzeitänderungen überwacht."
SearchTerms1,Text,"monitoramento de arquivos","file monitoring","monitoreo de archivos","surveillance de fichiers","monitoraggio file","Dateiüberwachung"
SearchTerms2,Text,"gerenciador de arquivos","file manager","gestor de archivos","gestionnaire de fichiers","gestore di file","Dateimanager"
SearchTerms3,Text,"monitoramento em tempo real","real-time monitoring","monitoreo en tiempo real","surveillance en temps réel","monitoraggio in tempo reale","Echtzeit-Überwachung"
SearchTerms4,Text,"rastreamento de mudanças","change tracking","seguimiento de cambios","suivi des changements","tracciamento delle modifiche","Änderungsverfolgung"
SearchTerms5,Text,"estatísticas de arquivos","file statistics","estadísticas de archivos","statistiques de fichiers","statistiche dei file","Dateistatistiken"
SearchTerms6,Text,"exportação de dados","data export","exportación de datos","exportation de données","esportazione dati","Datenexport"
SearchTerms7,Text,"análise de diretórios","directory analysis","análisis de directorios","analyse de répertoire","analisi di directory","Verzeichnisanalyse"
Applicable license terms,Text,"Licença de Uso Pessoal e Comercial","Personal and Commercial Use License","Licencia de Uso Personal y Comercial","Licence d'Utilisation Personnelle et Commerciale","Licenza per Uso Personale e Commerciale","Lizenz für Persönliche und Kommerzielle Nutzung"
Copyright,Text,"© 2025 Fernando Nillsson Cidade. Todos os direitos reservados.","© 2025 Fernando Nillsson Cidade. All rights reserved.","© 2025 Fernando Nillsson Cidade. Todos los derechos reservados.","© 2025 Fernando Nillsson Cidade. Tous droits réservés.","© 2025 Fernando Nillsson Cidade. Tutti i diritti riservati.","© 2025 Fernando Nillsson Cidade. Alle Rechte vorbehalten."
DevelopedBy,Text,"Fernando Nillsson Cidade","Fernando Nillsson Cidade","Fernando Nillsson Cidade","Fernando Nillsson Cidade","Fernando Nillsson Cidade","Fernando Nillsson Cidade"
RequirementsMinimum1,Text,"Windows 10 ou superior","Windows 10 or higher","Windows 10 o superior","Windows 10 ou supérieur","Windows 10 o superiore","Windows 10 oder höher"
RequirementsMinimum2,Text,"4GB de RAM","4GB RAM","4GB de RAM","4GB de RAM","4GB di RAM","4GB RAM"
RequirementsMinimum3,Text,"150MB de espaço em disco","150MB disk space","150MB de espacio en disco","150MB d'espace disque","150MB di spazio su disco","150MB Festplattenspeicher"
RequirementsMinimum4,Text,"Resolução 1366x768","1366x768 resolution","Resolución 1366x768","Résolution 1366x768","Risoluzione 1366x768","1366x768 Auflösung"
RequirementsMinimum5,Text,,,,,,
RequirementsMinimum6,Text,,,,,,
RequirementsMinimum7,Text,,,,,,
RequirementsMinimum8,Text,,,,,,
RequirementsMinimum9,Text,,,,,,
RequirementsMinimum10,Text,,,,,,
RequirementsMinimum11,Text,,,,,,
RequirementsRecommended1,Text,"Windows 10 ou superior","Windows 10 or higher","Windows 10 o superior","Windows 10 ou supérieur","Windows 10 o superiore","Windows 10 oder höher"
RequirementsRecommended2,Text,"8GB de RAM","8GB RAM","8GB de RAM","8GB de RAM","8GB di RAM","8GB RAM"
RequirementsRecommended3,Text,"500MB de espaço em disco","500MB disk space","500MB de espacio en disco","500MB d'espace disque","500MB di spazio su disco","500MB Festplattenspeicher"
RequirementsRecommended4,Text,"Resolução 1920x1080","1920x1080 resolution","Resolución 1920x1080","Résolution 1920x1080","Risoluzione 1920x1080","1920x1080 Auflösung"
RequirementsRecommended5,Text,,,,,,
RequirementsRecommended6,Text,,,,,,
RequirementsRecommended7,Text,,,,,,
RequirementsRecommended8,Text,,,,,,
RequirementsRecommended9,Text,,,,,,
RequirementsRecommended10,Text,,,,,,
RequirementsRecommended11,Text,,,,,,
StoreLogos1,Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise,"manager_files.png","manager_files.png","manager_files.png","manager_files.png","manager_files.png","manager_files.png"
StoreLogos2,Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise,,,,,,
Screenshots1,Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise,"Captura_de_tela_2025-03-31_215127.png","Captura_de_tela_2025-03-31_215127.png","Captura_de_tela_2025-03-31_215127.png","Captura_de_tela_2025-03-31_215127.png","Captura_de_tela_2025-03-31_215127.png","Captura_de_tela_2025-03-31_215127.png"
Screenshots2,Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise,"Captura_de_tela_2025-03-31_215206.png","Captura_de_tela_2025-03-31_215206.png","Captura_de_tela_2025-03-31_215206.png","Captura_de_tela_2025-03-31_215206.png","Captura_de_tela_2025-03-31_215206.png","Captura_de_tela_2025-03-31_215206.png"
Screenshots3,Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise,"Captura_de_tela_2025-03-31_215246.png","Captura_de_tela_2025-03-31_215246.png","Captura_de_tela_2025-03-31_215246.png","Captura_de_tela_2025-03-31_215246.png","Captura_de_tela_2025-03-31_215246.png","Captura_de_tela_2025-03-31_215246.png"
Screenshots4,Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise,"Captura_de_tela_2025-03-31_215429.png","Captura_de_tela_2025-03-31_215429.png","Captura_de_tela_2025-03-31_215429.png","Captura_de_tela_2025-03-31_215429.png","Captura_de_tela_2025-03-31_215429.png","Captura_de_tela_2025-03-31_215429.png"
Screenshots5,Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise,"Captura_de_tela_2025-03-31_215452.png","Captura_de_tela_2025-03-31_215452.png","Captura_de_tela_2025-03-31_215452.png","Captura_de_tela_2025-03-31_215452.png","Captura_de_tela_2025-03-31_215452.png","Captura_de_tela_2025-03-31_215452.png"
Screenshots6,Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise,"Captura_de_tela_2025-03-31_215516.png","Captura_de_tela_2025-03-31_215516.png","Captura_de_tela_2025-03-31_215516.png","Captura_de_tela_2025-03-31_215516.png","Captura_de_tela_2025-03-31_215516.png","Captura_de_tela_2025-03-31_215516.png"
Screenshots7,Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise,"Captura_de_tela_2025-03-31_215536.png","Captura_de_tela_2025-03-31_215536.png","Captura_de_tela_2025-03-31_215536.png","Captura_de_tela_2025-03-31_215536.png","Captura_de_tela_2025-03-31_215536.png","Captura_de_tela_2025-03-31_215536.png"
Screenshots8,Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise,"Captura_de_tela_2025-03-31_215605.png","Captura_de_tela_2025-03-31_215605.png","Captura_de_tela_2025-03-31_215605.png","Captura_de_tela_2025-03-31_215605.png","Captura_de_tela_2025-03-31_215605.png","Captura_de_tela_2025-03-31_215605.png"
Screenshots9,Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise,"Captura_de_tela_2025-03-31_215715.png","Captura_de_tela_2025-03-31_215715.png","Captura_de_tela_2025-03-31_215715.png","Captura_de_tela_2025-03-31_215715.png","Captura_de_tela_2025-03-31_215715.png","Captura_de_tela_2025-03-31_215715.png"
Screenshots10,Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise,"Captura_de_tela_2025-03-31_215834.png","Captura_de_tela_2025-03-31_215834.png","Captura_de_tela_2025-03-31_215834.png","Captura_de_tela_2025-03-31_215834.png","Captura_de_tela_2025-03-31_215834.png","Captura_de_tela_2025-03-31_215834.png"
HeroArts,Text,"manager_files.png","manager_files.png","manager_files.png","manager_files.png","manager_files.png","manager_files.png"
Trailers,Text,,,,,,
